tier,model_path,mae,rmse,mape_pct,smape_pct,best_iter
highest,xgb_sku_highest_model.ubj,0.27371716144575675,0.4073993466008711,5.613269069510179,5.707011983259139,46
inventory,xgb_inventory_model.ubj,0.2755596405917108,0.3298890865869828,4.749634349115159,4.704244231997133,42
medium,xgb_sku_medium_model.ubj,0.41113717042431674,0.4917602990165228,8.79074286606651,8.801353166709847,42
rest,xgb_sku_rest_model.ubj,0.43177088232218785,0.5922132041246883,13.322515203001114,12.136097442786717,29
solo::CU-1,xgb_sku_solo_CU_1_model.ubj,0.45898107517099335,0.5661693103433504,12.52165934257296,12.579736152349449,12
solo::SC15,xgb_sku_solo_SC15_model.ubj,0.8653284506510863,0.9675674343325991,63.13924916343707,52.61636959898901,59
solo::SC5,xgb_sku_solo_SC5_model.ubj,0.6538899958473784,0.7329600019453308,36.03952691896012,29.041475540603045,74
